Dietary Preference,Breakfast Suggestion,Lunch Suggestion,Dinner Suggestion,Snack Suggestion,Meal Plan,Budget Preferences
veg,Upma with vegetables,Paneer wrap with veggies,Chapati with dal and mixed vegetables,Fruit smoothie,Upma with vegetables; Paneer wrap with veggies; Chapati with dal and mixed vegetables; Fruit smoothie,low
non-veg,Oats with banana and nuts,Chicken salad with whole grain bread,Chapati with dal and mixed vegetables,Nuts and dry fruits,Oats with banana and nuts; Chicken salad with whole grain bread; Chapati with dal and mixed vegetables; Nuts and dry fruits,low
non-veg,Upma with vegetables,Lentil curry with rice,Vegetable biryani,Fruit smoothie,Upma with vegetables; Lentil curry with rice; Vegetable biryani; Fruit smoothie,low
veg,Paratha with curd,Rajma chawal with salad,Stuffed paneer chapati with salad,Granola bars,Paratha with curd; Rajma chawal with salad; Stuffed paneer chapati with salad; Granola bars,low
vegan,Paratha with curd,Chicken curry with brown rice,Turkey chili,Nut mix with raisins,Paratha with curd; Chicken curry with brown rice; Turkey chili; Nut mix with raisins,low
non-veg,Oats with almond milk,Grilled vegetables with lentils,Soup with whole grain toast,Roasted seeds,Oats with almond milk; Grilled vegetables with lentils; Soup with whole grain toast; Roasted seeds,low
vegan,Protein shake with banana,Baked fish with quinoa,High-protein pasta,Granola bars,Protein shake with banana; Baked fish with quinoa; High-protein pasta; Granola bars,high
vegan,Paratha with curd,Baked fish with quinoa,Stuffed paneer chapati with salad,Granola bars,Paratha with curd; Baked fish with quinoa; Stuffed paneer chapati with salad; Granola bars,high
veg,Protein shake with banana,Baked tofu with quinoa,Stuffed paneer chapati with salad,Banana and peanut butter,Protein shake with banana; Baked tofu with quinoa; Stuffed paneer chapati with salad; Banana and peanut butter,low
non-veg,Protein shake with banana,Rajma chawal with salad,Stuffed paneer chapati with salad,Banana and peanut butter,Protein shake with banana; Rajma chawal with salad; Stuffed paneer chapati with salad; Banana and peanut butter,low
veg,Upma with vegetables,Lentil curry with rice,Vegetable biryani,Boiled tofu,Upma with vegetables; Lentil curry with rice; Vegetable biryani; Boiled tofu,low
veg,tofu sandwich,paneer curry with brown rice,tofu chili,Granola bars,tofu sandwich; paneer curry with brown rice; tofu chili; Granola bars,low
veg,Multigrain toast with tofu,Lentil curry with rice,Vegetable biryani,Fruit smoothie,Multigrain toast with tofu; Lentil curry with rice; Vegetable biryani; Fruit smoothie,low
vegan,Paratha with curd,Rajma chawal with salad,Stuffed paneer chapati with salad,Banana and peanut butter,Paratha with curd; Rajma chawal with salad; Stuffed paneer chapati with salad; Banana and peanut butter,low
non-veg,Low-fat yogurt with berries,Zucchini noodles with tomato sauce,Soup with whole grain toast,Apple slices with peanut butter,Low-fat yogurt with berries; Zucchini noodles with tomato sauce; Soup with whole grain toast; Apple slices with peanut butter,high
non-veg,Protein shake with banana,Chicken curry with brown rice,Turkey chili,Nut mix with raisins,Protein shake with banana; Chicken curry with brown rice; Turkey chili; Nut mix with raisins,low
non-veg,Egg sandwich,Baked fish with quinoa,Stuffed paneer chapati with salad,Nut mix with raisins,Egg sandwich; Baked fish with quinoa; Stuffed paneer chapati with salad; Nut mix with raisins,high
veg,Paratha with curd,paneer curry with brown rice,High-protein pasta,Banana and peanut butter,Paratha with curd; paneer curry with brown rice; High-protein pasta; Banana and peanut butter,low
veg,Multigrain toast with tofu,Lentil curry with rice,Chapati with dal and mixed vegetables,Fruit smoothie,Multigrain toast with tofu; Lentil curry with rice; Chapati with dal and mixed vegetables; Fruit smoothie,low
vegan,Paratha with curd,Rajma chawal with salad,Turkey chili,Nut mix with raisins,Paratha with curd; Rajma chawal with salad; Turkey chili; Nut mix with raisins,low
veg,Paratha with curd,Baked tofu with quinoa,Stuffed paneer chapati with salad,Granola bars,Paratha with curd; Baked tofu with quinoa; Stuffed paneer chapati with salad; Granola bars,high
vegan,Oats with banana and nuts,Lentil curry with rice,Vegetable biryani,Fruit smoothie,Oats with banana and nuts; Lentil curry with rice; Vegetable biryani; Fruit smoothie,low
veg,Paratha with curd,Baked tofu with quinoa,tofu chili,Granola bars,Paratha with curd; Baked tofu with quinoa; tofu chili; Granola bars,high
vegan,Egg sandwich,Baked fish with quinoa,Turkey chili,Banana and peanut butter,Egg sandwich; Baked fish with quinoa; Turkey chili; Banana and peanut butter,low
vegan,Paratha with curd,Baked fish with quinoa,Stuffed paneer chapati with salad,Nut mix with raisins,Paratha with curd; Baked fish with quinoa; Stuffed paneer chapati with salad; Nut mix with raisins,high
veg,Fruit and chia seeds,Zucchini noodles with tomato sauce,Soup with whole grain toast,Apple slices with peanut butter,Fruit and chia seeds; Zucchini noodles with tomato sauce; Soup with whole grain toast; Apple slices with peanut butter,high
vegan,Upma with vegetables,Chicken salad with whole grain bread,Vegetable biryani,Nuts and dry fruits,Upma with vegetables; Chicken salad with whole grain bread; Vegetable biryani; Nuts and dry fruits,low
veg,tofu sandwich,Baked tofu with quinoa,tofu chili,Nut mix with raisins,tofu sandwich; Baked tofu with quinoa; tofu chili; Nut mix with raisins,low
veg,Oats with banana and nuts,Paneer wrap with veggies,Vegetable biryani,Boiled tofu,Oats with banana and nuts; Paneer wrap with veggies; Vegetable biryani; Boiled tofu,low
veg,Upma with vegetables,Lentil curry with rice,Chapati with dal and mixed vegetables,Fruit smoothie,Upma with vegetables; Lentil curry with rice; Chapati with dal and mixed vegetables; Fruit smoothie,low
vegan,Fruit and chia seeds,Grilled vegetables with lentils,Light tofu stir-fry,Apple slices with peanut butter,Fruit and chia seeds; Grilled vegetables with lentils; Light tofu stir-fry; Apple slices with peanut butter,low
vegan,Multigrain toast with egg,Paneer wrap with veggies,Chapati with dal and mixed vegetables,Fruit smoothie,Multigrain toast with egg; Paneer wrap with veggies; Chapati with dal and mixed vegetables; Fruit smoothie,low
non-veg,Protein shake with banana,Chicken curry with brown rice,High-protein pasta,Banana and peanut butter,Protein shake with banana; Chicken curry with brown rice; High-protein pasta; Banana and peanut butter,low
vegan,Oats with banana and nuts,Chicken salad with whole grain bread,Chapati with dal and mixed vegetables,Boiled eggs,Oats with banana and nuts; Chicken salad with whole grain bread; Chapati with dal and mixed vegetables; Boiled eggs,low
vegan,Egg sandwich,Chicken curry with brown rice,Stuffed paneer chapati with salad,Granola bars,Egg sandwich; Chicken curry with brown rice; Stuffed paneer chapati with salad; Granola bars,low
non-veg,Low-fat yogurt with berries,Brown rice with spinach curry,Quinoa salad with steamed veggies,Apple slices with peanut butter,Low-fat yogurt with berries; Brown rice with spinach curry; Quinoa salad with steamed veggies; Apple slices with peanut butter,low
non-veg,Egg sandwich,Chicken curry with brown rice,Stuffed paneer chapati with salad,Granola bars,Egg sandwich; Chicken curry with brown rice; Stuffed paneer chapati with salad; Granola bars,low
non-veg,Paratha with curd,Chicken curry with brown rice,Turkey chili,Banana and peanut butter,Paratha with curd; Chicken curry with brown rice; Turkey chili; Banana and peanut butter,low
vegan,Oats with banana and nuts,Paneer wrap with veggies,Chapati with dal and mixed vegetables,Nuts and dry fruits,Oats with banana and nuts; Paneer wrap with veggies; Chapati with dal and mixed vegetables; Nuts and dry fruits,low
veg,Upma with vegetables,Paneer wrap with veggies,Grilled paneer with salad,Fruit smoothie,Upma with vegetables; Paneer wrap with veggies; Grilled paneer with salad; Fruit smoothie,low
vegan,Upma with vegetables,Paneer wrap with veggies,Grilled chicken with salad,Fruit smoothie,Upma with vegetables; Paneer wrap with veggies; Grilled chicken with salad; Fruit smoothie,low
non-veg,Upma with vegetables,Lentil curry with rice,Chapati with dal and mixed vegetables,Fruit smoothie,Upma with vegetables; Lentil curry with rice; Chapati with dal and mixed vegetables; Fruit smoothie,low
veg,Multigrain toast with tofu,Lentil curry with rice,Vegetable biryani,Fruit smoothie,Multigrain toast with tofu; Lentil curry with rice; Vegetable biryani; Fruit smoothie,low
vegan,Protein shake with banana,Rajma chawal with salad,Turkey chili,Banana and peanut butter,Protein shake with banana; Rajma chawal with salad; Turkey chili; Banana and peanut butter,low
vegan,Paratha with curd,Chicken curry with brown rice,Turkey chili,Granola bars,Paratha with curd; Chicken curry with brown rice; Turkey chili; Granola bars,low
vegan,Multigrain toast with egg,Chicken salad with whole grain bread,Chapati with dal and mixed vegetables,Boiled eggs,Multigrain toast with egg; Chicken salad with whole grain bread; Chapati with dal and mixed vegetables; Boiled eggs,low
vegan,Oats with banana and nuts,Lentil curry with rice,Grilled chicken with salad,Fruit smoothie,Oats with banana and nuts; Lentil curry with rice; Grilled chicken with salad; Fruit smoothie,low
vegan,Upma with vegetables,Chicken salad with whole grain bread,Chapati with dal and mixed vegetables,Fruit smoothie,Upma with vegetables; Chicken salad with whole grain bread; Chapati with dal and mixed vegetables; Fruit smoothie,low
veg,Oats with banana and nuts,paneer salad with whole grain bread,Chapati with dal and mixed vegetables,Fruit smoothie,Oats with banana and nuts; paneer salad with whole grain bread; Chapati with dal and mixed vegetables; Fruit smoothie,low
veg,Paratha with curd,Rajma chawal with salad,tofu chili,Nut mix with raisins,Paratha with curd; Rajma chawal with salad; tofu chili; Nut mix with raisins,low
veg,Paratha with curd,Rajma chawal with salad,Stuffed paneer chapati with salad,Banana and peanut butter,Paratha with curd; Rajma chawal with salad; Stuffed paneer chapati with salad; Banana and peanut butter,low
vegan,Protein shake with banana,Chicken curry with brown rice,High-protein pasta,Banana and peanut butter,Protein shake with banana; Chicken curry with brown rice; High-protein pasta; Banana and peanut butter,low
non-veg,Multigrain toast with egg,Chicken salad with whole grain bread,Chapati with dal and mixed vegetables,Fruit smoothie,Multigrain toast with egg; Chicken salad with whole grain bread; Chapati with dal and mixed vegetables; Fruit smoothie,low
veg,Upma with vegetables,Paneer wrap with veggies,Chapati with dal and mixed vegetables,Fruit smoothie,Upma with vegetables; Paneer wrap with veggies; Chapati with dal and mixed vegetables; Fruit smoothie,low
non-veg,Upma with vegetables,Chicken salad with whole grain bread,Vegetable biryani,Nuts and dry fruits,Upma with vegetables; Chicken salad with whole grain bread; Vegetable biryani; Nuts and dry fruits,low
non-veg,Upma with vegetables,Chicken salad with whole grain bread,Chapati with dal and mixed vegetables,Fruit smoothie,Upma with vegetables; Chicken salad with whole grain bread; Chapati with dal and mixed vegetables; Fruit smoothie,low
vegan,Oats with almond milk,Brown rice with spinach curry,Soup with whole grain toast,Apple slices with peanut butter,Oats with almond milk; Brown rice with spinach curry; Soup with whole grain toast; Apple slices with peanut butter,low
veg,Protein shake with banana,Rajma chawal with salad,Stuffed paneer chapati with salad,Nut mix with raisins,Protein shake with banana; Rajma chawal with salad; Stuffed paneer chapati with salad; Nut mix with raisins,low
vegan,Fruit and chia seeds,Zucchini noodles with tomato sauce,Light tofu stir-fry,Cucumber sticks,Fruit and chia seeds; Zucchini noodles with tomato sauce; Light tofu stir-fry; Cucumber sticks,high
veg,Protein shake with banana,Baked tofu with quinoa,Stuffed paneer chapati with salad,Nut mix with raisins,Protein shake with banana; Baked tofu with quinoa; Stuffed paneer chapati with salad; Nut mix with raisins,low
vegan,Low-fat yogurt with berries,Brown rice with spinach curry,Quinoa salad with steamed veggies,Cucumber sticks,Low-fat yogurt with berries; Brown rice with spinach curry; Quinoa salad with steamed veggies; Cucumber sticks,low
veg,Oats with almond milk,Brown rice with spinach curry,Light tofu stir-fry,Apple slices with peanut butter,Oats with almond milk; Brown rice with spinach curry; Light tofu stir-fry; Apple slices with peanut butter,low
non-veg,Fruit and chia seeds,Grilled vegetables with lentils,Light tofu stir-fry,Roasted seeds,Fruit and chia seeds; Grilled vegetables with lentils; Light tofu stir-fry; Roasted seeds,low
non-veg,Paratha with curd,Baked fish with quinoa,Turkey chili,Banana and peanut butter,Paratha with curd; Baked fish with quinoa; Turkey chili; Banana and peanut butter,low
vegan,Paratha with curd,Rajma chawal with salad,High-protein pasta,Banana and peanut butter,Paratha with curd; Rajma chawal with salad; High-protein pasta; Banana and peanut butter,low
vegan,Paratha with curd,Baked fish with quinoa,High-protein pasta,Nut mix with raisins,Paratha with curd; Baked fish with quinoa; High-protein pasta; Nut mix with raisins,high
non-veg,Egg sandwich,Rajma chawal with salad,Stuffed paneer chapati with salad,Banana and peanut butter,Egg sandwich; Rajma chawal with salad; Stuffed paneer chapati with salad; Banana and peanut butter,low
non-veg,Multigrain toast with egg,Chicken salad with whole grain bread,Vegetable biryani,Nuts and dry fruits,Multigrain toast with egg; Chicken salad with whole grain bread; Vegetable biryani; Nuts and dry fruits,low
non-veg,Oats with banana and nuts,Chicken salad with whole grain bread,Grilled chicken with salad,Boiled eggs,Oats with banana and nuts; Chicken salad with whole grain bread; Grilled chicken with salad; Boiled eggs,low
veg,Oats with banana and nuts,Paneer wrap with veggies,Grilled paneer with salad,Fruit smoothie,Oats with banana and nuts; Paneer wrap with veggies; Grilled paneer with salad; Fruit smoothie,low
veg,Oats with banana and nuts,Paneer wrap with veggies,Vegetable biryani,Nuts and dry fruits,Oats with banana and nuts; Paneer wrap with veggies; Vegetable biryani; Nuts and dry fruits,low
vegan,Fruit and chia seeds,Zucchini noodles with tomato sauce,Light tofu stir-fry,Apple slices with peanut butter,Fruit and chia seeds; Zucchini noodles with tomato sauce; Light tofu stir-fry; Apple slices with peanut butter,high
veg,Paratha with curd,Rajma chawal with salad,tofu chili,Granola bars,Paratha with curd; Rajma chawal with salad; tofu chili; Granola bars,low
veg,Upma with vegetables,Lentil curry with rice,Vegetable biryani,Fruit smoothie,Upma with vegetables; Lentil curry with rice; Vegetable biryani; Fruit smoothie,low
